City,Naracoorte,NAC,NULL,NULL,Australia,AU
Airport,Naracoorte,NAC,Naracoorte,NAC,Australia,AU
City,Narrandera,NRA,NULL,NULL,Australia,AU
Airport,Narrandera,NRA,Narrandera,NRA,Australia,AU
City,Newcastle,NTL,NULL,NULL,Australia,AU
Airport,Newcastle Williamtown Apt,NTL,Newcastle,NTL,Australia,AU
Airport,Normanton,NTN,Normanton,NTN,Australia,AU
City,Normanton,NTN,NULL,NULL,Australia,AU
Airport,Orange,OAG,Orange,OAG,Australia,AU
City,Orange,OAG,NULL,NULL,Australia,AU
City,Olympic Dam (Roxby Downs),OLP,NULL,NULL,Australia,AU
Airport,Olympic Dam,OLP,Olympic Dam (Roxby Downs),OLP,Australia,AU
Airport,Mornington Island,ONG,Mornington Island,ONG,Australia,AU
City,Mornington Island,ONG,NULL,NULL,Australia,AU
City,Gold Coast (Coolangatta),OOL,NULL,NULL,Australia,AU
Airport,Gold Coast,OOL,Gold Coast (Coolangatta),OOL,Australia,AU
Airport,Cooma,OOM,Cooma,OOM,Australia,AU
City,Cooma,OOM,NULL,NULL,Australia,AU
City,Paraburdoo,PBO,NULL,NULL,Australia,AU
Airport,Paraburdoo,PBO,Paraburdoo,PBO,Australia,AU
Airport,Perth,PER,Perth,PER,Australia,AU
City,Perth,PER,NULL,NULL,Australia,AU
City,Port Hedland,PHE,NULL,NULL,Australia,AU
Airport,Port Hedland,PHE,Port Hedland,PHE,Australia,AU
City,Parkes,PKE,NULL,NULL,Australia,AU
Airport,Parkes,PKE,Parkes,PKE,Australia,AU
City,Port Lincoln,PLO,NULL,NULL,Australia,AU
Airport,Port Lincoln,PLO,Port Lincoln,PLO,Australia,AU
Airport,Palm Island,PMK,Palm Island,PMK,Australia,AU
City,Palm Island,PMK,NULL,NULL,Australia,AU
Airport,Proserpine,PPP,Proserpine (Airlie Beach/Whitsunday Coast),PPP,Australia,AU
City,Proserpine (Airlie Beach/Whitsunday Coast),PPP,NULL,NULL,Australia,AU
City,Port Macquarie,PQQ,NULL,NULL,Australia,AU
Airport,Port Macquarie,PQQ,Port Macquarie,PQQ,Australia,AU
Airport,Portland,PTJ,Portland,PTJ,Australia,AU
City,Portland,PTJ,NULL,NULL,Australia,AU
Airport,Port Augusta,PUG,Port Augusta,PUG,Australia,AU
City,Port Augusta,PUG,NULL,NULL,Australia,AU
City,Richmond,RCM,NULL,NULL,Australia,AU
Airport,Richmond,RCM,Richmond,RCM,Australia,AU
Airport,Roma,RMA,Roma,RMA,Australia,AU
City,Roma,RMA,NULL,NULL,Australia,AU
Airport,Rockhampton,ROK,Rockhampton,ROK,Australia,AU
City,Rockhampton,ROK,NULL,NULL,Australia,AU
City,St George,SGO,NULL,NULL,Australia,AU
Airport,St George,SGO,St George,SGO,Australia,AU
City,South Molle Island,SOI,NULL,NULL,Australia,AU
City,Sydney,SYD,NULL,NULL,Australia,AU
Airport,Sydney Kingsford Smith Apt,SYD,Sydney,SYD,Australia,AU
City,Warraber Island,SYU,NULL,NULL,Australia,AU
Airport,Warraber Island,SYU,Warraber Island,SYU,Australia,AU
City,Tarcoola,TAQ,NULL,NULL,Australia,AU
