City,Upland,CCB,NULL,NULL,United States,US
Airport,Cold Bay,CDB,Cold Bay,CDB,United States,US
City,Cold Bay,CDB,NULL,NULL,United States,US
City,Cedar City,CDC,NULL,NULL,United States,US
Airport,Cedar City,CDC,Cedar City,CDC,United States,US
Airport,Chadron,CDR,Chadron,CDR,United States,US
City,Chadron,CDR,NULL,NULL,United States,US
City,Cordova,CDV,NULL,NULL,United States,US
Airport,Cordova Mudhole Smith Airport,CDV,Cordova,CDV,United States,US
City,Caldwell,CDW,NULL,NULL,United States,US
Airport,Caldwell,CDW,Caldwell,CDW,United States,US
City,Crescent City,CEC,NULL,NULL,United States,US
Airport,Crescent City,CEC,Crescent City,CEC,United States,US
Airport,Central,CEM,Central,CEM,United States,US
City,Central,CEM,NULL,NULL,United States,US
City,Cortez,CEZ,NULL,NULL,United States,US
Airport,Cortez,CEZ,Cortez,CEZ,United States,US
Airport,Coffee Point,CFA,Coffee Point,CFA,United States,US
City,Coffee Point,CFA,NULL,NULL,United States,US
City,Craig,CGA,NULL,NULL,United States,US
Airport,Craig,CGA,Craig,CGA,United States,US
Airport,Cape Girardeau,CGI,Cape Girardeau,CGI,United States,US
City,Cape Girardeau,CGI,NULL,NULL,United States,US
City,Chattanooga,CHA,NULL,NULL,United States,US
Airport,Chattanooga Lovell Field Apt,CHA,Chattanooga,CHA,United States,US
City,Chicago,CHI,NULL,NULL,United States,US
Airport,Charlottesville,CHO,Charlottesville,CHO,United States,US
City,Charlottesville,CHO,NULL,NULL,United States,US
Airport,Charleston,CHS,Charleston,CHS,United States,US
City,Charleston,CHS,NULL,NULL,United States,US
Airport,Chuathbaluk,CHU,Chuathbaluk,CHU,United States,US
City,Chuathbaluk,CHU,NULL,NULL,United States,US
City,Chico,CIC,NULL,NULL,United States,US
Airport,Chico,CIC,Chico,CIC,United States,US
Airport,Cedar Rapids,CID,Cedar Rapids,CID,United States,US
City,Cedar Rapids,CID,NULL,NULL,United States,US
Airport,Chalkyitsik,CIK,Chalkyitsik,CIK,United States,US
City,Chalkyitsik,CIK,NULL,NULL,United States,US
Airport,Sault Ste Marie Chippewa County Apt,CIU,Sault Ste Marie,SSM,United States,US
City,Clarksburg,CKB,NULL,NULL,United States,US
Airport,Clarksburg,CKB,Clarksburg,CKB,United States,US
Airport,Crooked Creek,CKD,Crooked Creek,CKD,United States,US
City,Crooked Creek,CKD,NULL,NULL,United States,US
Airport,Chicken,CKX,Chicken,CKX,United States,US
City,Chicken,CKX,NULL,NULL,United States,US
Airport,Carlsbad,CLD,Carlsbad,CLD,United States,US
City,Carlsbad,CLD,NULL,NULL,United States,US
Airport,Cleveland Hopkins International Apt,CLE,Cleveland,CLE,United States,US
City,Cleveland,CLE,NULL,NULL,United States,US
Airport,College Station,CLL,College Station,CLL,United States,US
City,College Station,CLL,NULL,NULL,United States,US
City,Port Angeles,CLM,NULL,NULL,United States,US
Airport,Port Angeles,CLM,Port Angeles,CLM,United States,US
City,Clarks Point,CLP,NULL,NULL,United States,US
Airport,Clarks Point,CLP,Clarks Point,CLP,United States,US
City,Charlotte,CLT,NULL,NULL,United States,US
Airport,Charlotte,CLT,Charlotte,CLT,United States,US
City,Columbus,CMH,NULL,NULL,United States,US
Airport,Columbus Port Columbus Intl Apt,CMH,Columbus,CMH,United States,US
City,Champaign,CMI,NULL,NULL,United States,US
Airport,Champaign,CMI,Champaign,CMI,United States,US
Airport,Hancock,CMX,Hancock,CMX,United States,US
City,Hancock,CMX,NULL,NULL,United States,US
City,Claremont,CNH,NULL,NULL,United States,US
Airport,Claremont,CNH,Claremont,CNH,United States,US
City,Carlsbad,CNM,NULL,NULL,United States,US
Airport,Carlsbad,CNM,Carlsbad,CNM,United States,US
Airport,Moab,CNY,Moab,CNY,United States,US
City,Moab,CNY,NULL,NULL,United States,US
City,Cody,COD,NULL,NULL,United States,US
Airport,Cody,COD,Cody,COD,United States,US
City,Cocoa,COI,NULL,NULL,United States,US
City,Colorado Springs,COS,NULL,NULL,United States,US
Airport,Colorado Springs Peterson Field,COS,Colorado Springs,COS,United States,US
City,Columbia,COU,NULL,NULL,United States,US
Airport,Columbia,COU,Columbia,COU,United States,US
City,Casper,CPR,NULL,NULL,United States,US
Airport,Casper,CPR,Casper,CPR,United States,US
Airport,St Louis Bi-State Parks Airport,CPS,St Louis,STL,United States,US
Airport,Myrtle Beach Grand Strand Apt,CRE,Myrtle Beach,MYR,United States,US
City,Corpus Christi,CRP,NULL,NULL,United States,US
Airport,Corpus Christi International Apt,CRP,Corpus Christi,CRP,United States,US
City,Charleston,CRW,NULL,NULL,United States,US
Airport,Charleston,CRW,Charleston,CRW,United States,US
City,Columbus,CSG,NULL,NULL,United States,US
Airport,Columbus Metropolitan Apt,CSG,Columbus,CSG,United States,US
City,San Luis Obispo,CSL,NULL,NULL,United States,US
City,Clinton,CSM,NULL,NULL,United States,US
Airport,Cincinnati Northern Kentucky Intl Apt,CVG,Cincinnati,CVG,United States,US
City,Cincinnati,CVG,NULL,NULL,United States,US
City,Clovis,CVN,NULL,NULL,United States,US
Airport,Clovis Municipal Apt,CVN,Clovis,CVN,United States,US
Airport,Wausau Central Wisconsin Apt,CWA,Wausau,AUW,United States,US
Airport,Cheyenne Municipal Apt,CYS,Cheyenne,CYS,United States,US
City,Cheyenne,CYS,NULL,NULL,United States,US
Airport,Daytona Beach,DAB,Daytona Beach,DAB,United States,US
City,Daytona Beach,DAB,NULL,NULL,United States,US
Airport,Dallas/Fort Worth Love Field,DAL,Dallas/Fort Worth,DFW,United States,US
Airport,Dayton Intl Apt,DAY,Dayton,DAY,United States,US
City,Dayton,DAY,NULL,NULL,United States,US
City,Dubuque,DBQ,NULL,NULL,United States,US
Airport,Dubuque,DBQ,Dubuque,DBQ,United States,US
Airport,Washington Ronald Reagan National Apt,DCA,Washington,WAS,United States,US
Airport,Dodge City,DDC,Dodge City,DDC,United States,US
City,Dodge City,DDC,NULL,NULL,United States,US
Airport,Decatur,DEC,Decatur,DEC,United States,US
City,Decatur,DEC,NULL,NULL,United States,US
City,Denver,DEN,NULL,NULL,United States,US
Airport,Denver Intl Apt,DEN,Denver,DEN,United States,US
Airport,Dallas/Fort Worth Intl Apt,DFW,Dallas/Fort Worth,DFW,United States,US
City,Dallas/Fort Worth,DFW,NULL,NULL,United States,US
City,Dothan,DHN,NULL,NULL,United States,US
Airport,Dothan,DHN,Dothan,DHN,United States,US
Airport,Dickinson,DIK,Dickinson,DIK,United States,US
City,Dickinson,DIK,NULL,NULL,United States,US
City,Diomede Island,DIO,NULL,NULL,United States,US
Airport,Diomede Island,DIO,Diomede Island,DIO,United States,US
City,Dillingham,DLG,NULL,NULL,United States,US
Airport,Dillingham,DLG,Dillingham,DLG,United States,US
City,Duluth/Superior,DLH,NULL,NULL,United States,US
Airport,Duluth International Apt,DLH,Duluth/Superior,DLH,United States,US
City,Dalton,DNN,NULL,NULL,United States,US
Airport,Chicago Du Page County Apt,DPA,Chicago,CHI,United States,US
City,Deering,DRG,NULL,NULL,United States,US
Airport,Deering,DRG,Deering,DRG,United States,US
Airport,Durango La Plata Apt,DRO,Durango,DRO,United States,US
City,Durango,DRO,NULL,NULL,United States,US
City,Del Rio,DRT,NULL,NULL,United States,US
Airport,Del Rio International Apt,DRT,Del Rio,DRT,United States,US
City,Des Moines,DSM,NULL,NULL,United States,US
Airport,Des Moines,DSM,Des Moines,DSM,United States,US
City,Detroit,DTT,NULL,NULL,United States,US
Airport,Detroit Wayne County,DTW,Detroit,DTT,United States,US
City,Douglas,DUG,NULL,NULL,United States,US
City,Dubois,DUJ,NULL,NULL,United States,US
Airport,Dubois,DUJ,Dubois,DUJ,United States,US
City,Dutch Harbor,DUT,NULL,NULL,United States,US
Airport,Dutch Harbor,DUT,Dutch Harbor,DUT,United States,US
Airport,Devils Lake,DVL,Devils Lake,DVL,United States,US
City,Devils Lake,DVL,NULL,NULL,United States,US
Airport,Eagle,EAA,Eagle,EAA,United States,US
City,Eagle,EAA,NULL,NULL,United States,US
City,Kearney,EAR,NULL,NULL,United States,US
Airport,Kearney,EAR,Kearney,EAR,United States,US
City,Wenatchee,EAT,NULL,NULL,United States,US
Airport,Wenatchee,EAT,Wenatchee,EAT,United States,US
Airport,Eau Claire,EAU,Eau Claire,EAU,United States,US
City,Eau Claire,EAU,NULL,NULL,United States,US
Airport,Panama City NW Florida Beaches Intl,ECP,Panama City,PFN,United States,US
City,Edna Bay,EDA,NULL,NULL,United States,US
Airport,Edna Bay,EDA,Edna Bay,EDA,United States,US
Airport,Eek,EEK,Eek,EEK,United States,US
City,Eek,EEK,NULL,NULL,United States,US
City,Vail,EGE,NULL,NULL,United States,US
Airport,Vail/Eagle County Apt,EGE,Vail,EGE,United States,US
Airport,Eagle River,EGV,Eagle River,EGV,United States,US
City,Eagle River,EGV,NULL,NULL,United States,US
City,Egegik,EGX,NULL,NULL,United States,US
Airport,Egegik,EGX,Egegik,EGX,United States,US
Airport,Elko,EKO,Elko,EKO,United States,US
City,Elko,EKO,NULL,NULL,United States,US
Airport,El Dorado,ELD,El Dorado,ELD,United States,US
City,El Dorado,ELD,NULL,NULL,United States,US
Airport,Elim,ELI,Elim,ELI,United States,US
City,Elim,ELI,NULL,NULL,United States,US
City,Elmira/Corning,ELM,NULL,NULL,United States,US
Airport,Elmira/Corning,ELM,Elmira/Corning,ELM,United States,US
City,El Paso,ELP,NULL,NULL,United States,US
Airport,El Paso International Apt,ELP,El Paso,ELP,United States,US
City,Elfin Cove,ELV,NULL,NULL,United States,US
Airport,Elfin Cove,ELV,Elfin Cove,ELV,United States,US
Airport,Ely,ELY,Ely,ELY,United States,US
City,Ely,ELY,NULL,NULL,United States,US
Airport,Emmonak,EMK,Emmonak,EMK,United States,US
City,Emmonak,EMK,NULL,NULL,United States,US
Airport,Kenai,ENA,Kenai,ENA,United States,US
City,Kenai,ENA,NULL,NULL,United States,US
City,Kenosha,ENW,NULL,NULL,United States,US
Airport,Kenosha,ENW,Kenosha,ENW,United States,US
Airport,Erie,ERI,Erie,ERI,United States,US
City,Erie,ERI,NULL,NULL,United States,US
Airport,Escanaba,ESC,Escanaba,ESC,United States,US
City,Escanaba,ESC,NULL,NULL,United States,US
City,Eastsound,ESD,NULL,NULL,United States,US
Airport,Eastsound,ESD,Eastsound,ESD,United States,US
Airport,Eugene,EUG,Eugene,EUG,United States,US
City,Eugene,EUG,NULL,NULL,United States,US
City,Evansville,EVV,NULL,NULL,United States,US
Airport,Evansville,EVV,Evansville,EVV,United States,US
Airport,New Bedford,EWB,New Bedford,EWB,United States,US
City,New Bedford,EWB,NULL,NULL,United States,US
City,Wildman Lake,EWD,NULL,NULL,United States,US
Airport,Wildman Lake,EWD,Wildman Lake,EWD,United States,US
Airport,New Bern,EWN,New Bern,EWN,United States,US
City,New Bern,EWN,NULL,NULL,United States,US
Airport,Newark Liberty International Apt,EWR,New York,NYC,United States,US
City,Excursion Inlet,EXI,NULL,NULL,United States,US
Airport,Excursion Inlet,EXI,Excursion Inlet,EXI,United States,US
Airport,Key West International Apt,EYW,Key West,EYW,United States,US
City,Key West,EYW,NULL,NULL,United States,US
Airport,Fairbanks International Apt,FAI,Fairbanks,FAI,United States,US
City,Fairbanks,FAI,NULL,NULL,United States,US
Airport,Fargo,FAR,Fargo,FAR,United States,US
City,Fargo,FAR,NULL,NULL,United States,US
City,Fresno,FAT,NULL,NULL,United States,US
Airport,Fresno Yosemite International Airport,FAT,Fresno,FAT,United States,US
City,Fayetteville,FAY,NULL,NULL,United States,US
Airport,Fayetteville Municipal Apt,FAY,Fayetteville,FAY,United States,US
Airport,Kalispell,FCA,Kalispell,FCA,United States,US
City,Kalispell,FCA,NULL,NULL,United States,US
City,Franklin,FKL,NULL,NULL,United States,US
Airport,Franklin Chess Lamberton Apt,FKL,Franklin,FKL,United States,US
Airport,Grand Canyon Pulliam Field Airport,FLG,Grand Canyon,GCN,United States,US
Airport,Fort Lauderdale/Hollywood Intl Apt,FLL,Fort Lauderdale,FLL,United States,US
City,Fort Lauderdale,FLL,NULL,NULL,United States,US
Airport,Florence,FLO,Florence,FLO,United States,US
City,Florence,FLO,NULL,NULL,United States,US
City,Farmington,FMN,NULL,NULL,United States,US
Airport,Farmington,FMN,Farmington,FMN,United States,US
City,Fort Myers,FMY,NULL,NULL,United States,US
Airport,Fort Myers Page Field,FMY,Fort Myers,FMY,United States,US
City,Fort Collins/Loveland,FNL,NULL,NULL,United States,US
Airport,Fort Collins/Loveland Municipal Apt,FNL,Fort Collins/Loveland,FNL,United States,US
City,Flint,FNT,NULL,NULL,United States,US
Airport,Flint,FNT,Flint,FNT,United States,US
City,Fort Dodge,FOD,NULL,NULL,United States,US
Airport,Fort Dodge,FOD,Fort Dodge,FOD,United States,US
City,Friday Harbor,FRD,NULL,NULL,United States,US
Airport,Friday Harbor,FRD,Friday Harbor,FRD,United States,US
City,Sioux Falls,FSD,NULL,NULL,United States,US
Airport,Sioux Falls,FSD,Sioux Falls,FSD,United States,US
Airport,Fort Smith,FSM,Fort Smith,FSM,United States,US
City,Fort Smith,FSM,NULL,NULL,United States,US
Airport,Atlanta Fulton County Apt,FTY,Atlanta,ATL,United States,US
City,Fort Wayne,FWA,NULL,NULL,United States,US
Airport,Fort Wayne Baer Field,FWA,Fort Wayne,FWA,United States,US
Airport,Fort Lauderdale Executive Apt,FXE,Fort Lauderdale,FLL,United States,US
City,Fort Yukon,FYU,NULL,NULL,United States,US
Airport,Fort Yukon,FYU,Fort Yukon,FYU,United States,US
City,Fayetteville,FYV,NULL,NULL,United States,US
Airport,Galena,GAL,Galena,GAL,United States,US
City,Galena,GAL,NULL,NULL,United States,US
City,Gambell,GAM,NULL,NULL,United States,US
Airport,Gambell,GAM,Gambell,GAM,United States,US
Airport,Great Bend,GBD,Great Bend,GBD,United States,US
City,Great Bend,GBD,NULL,NULL,United States,US
City,Gillette,GCC,NULL,NULL,United States,US
Airport,Gillette,GCC,Gillette,GCC,United States,US
City,Garden City,GCK,NULL,NULL,United States,US
Airport,Garden City,GCK,Garden City,GCK,United States,US
City,Grand Canyon,GCN,NULL,NULL,United States,US
Airport,Grand Canyon National Park Apt,GCN,Grand Canyon,GCN,United States,US
Airport,Grand Canyon West,GCW,Grand Canyon West,GCW,United States,US
City,Grand Canyon West,GCW,NULL,NULL,United States,US
Airport,Glendive,GDV,Glendive,GDV,United States,US
City,Glendive,GDV,NULL,NULL,United States,US
Airport,Spokane International Apt,GEG,Spokane,GEG,United States,US
City,Spokane,GEG,NULL,NULL,United States,US
Airport,Grand Forks,GFK,Grand Forks,GFK,United States,US
City,Grand Forks,GFK,NULL,NULL,United States,US
Airport,Longview,GGG,Longview,GGG,United States,US
City,Longview,GGG,NULL,NULL,United States,US
City,Glasgow,GGW,NULL,NULL,United States,US
Airport,Glasgow,GGW,Glasgow,GGW,United States,US
City,Grand Junction,GJT,NULL,NULL,United States,US
Airport,Grand Junction,GJT,Grand Junction,GJT,United States,US
Airport,Greenville,GLH,Greenville,GLH,United States,US
City,Greenville,GLH,NULL,NULL,United States,US
City,Golovin,GLV,NULL,NULL,United States,US
Airport,Golovin,GLV,Golovin,GLV,United States,US
City,Goodnews Bay,GNU,NULL,NULL,United States,US
Airport,Goodnews Bay,GNU,Goodnews Bay,GNU,United States,US
Airport,Gainesville,GNV,Gainesville,GNV,United States,US
City,Gainesville,GNV,NULL,NULL,United States,US
City,Gulfport/Biloxi,GPT,NULL,NULL,United States,US
Airport,Gulfport/Biloxi,GPT,Gulfport/Biloxi,GPT,United States,US
City,Green Bay,GRB,NULL,NULL,United States,US
Airport,Green Bay,GRB,Green Bay,GRB,United States,US
Airport,Grand Island,GRI,Grand Island,GRI,United States,US
City,Grand Island,GRI,NULL,NULL,United States,US
Airport,Killeen Gray AAF,GRK,Killeen,ILE,United States,US
City,Grand Rapids,GRR,NULL,NULL,United States,US
Airport,Grand Rapids,GRR,Grand Rapids,GRR,United States,US
City,Greensboro/High Point,GSO,NULL,NULL,United States,US
Airport,Greensboro/High Point,GSO,Greensboro/High Point,GSO,United States,US
Airport,Greenville/Spartanburg Apt,GSP,Greenville,GSP,United States,US
City,Greenville,GSP,NULL,NULL,United States,US
City,Gustavus,GST,NULL,NULL,United States,US
Airport,Gustavus Apt,GST,Gustavus,GST,United States,US
Airport,Great Falls International Apt,GTF,Great Falls,GTF,United States,US
City,Great Falls,GTF,NULL,NULL,United States,US
Airport,Columbus Golden Triangle Regional Apt,GTR,Columbus,UBS,United States,US
City,Gunnison,GUC,NULL,NULL,United States,US
Airport,Gunnison,GUC,Gunnison,GUC,United States,US
City,Havasupai,HAE,NULL,NULL,United States,US
Airport,Havasupai,HAE,Havasupai,HAE,United States,US
City,Harrisburg,HAR,NULL,NULL,United States,US
City,Big Spring,HCA,NULL,NULL,United States,US
Airport,Holy Cross,HCR,Holy Cross,HCR,United States,US
City,Holy Cross,HCR,NULL,NULL,United States,US
Airport,Steamboat Springs Hayden Yampa Valley,HDN,Steamboat Springs,SBS,United States,US
City,Hartford,HFD,NULL,NULL,United States,US
Airport,Hartford Brainard Apt,HFD,Hartford,HFD,United States,US
City,Hagerstown,HGR,NULL,NULL,United States,US
Airport,Hagerstown,HGR,Hagerstown,HGR,United States,US
City,Hilton Head Island,HHH,NULL,NULL,United States,US
Airport,Hilton Head Island,HHH,Hilton Head Island,HHH,United States,US
Airport,Hawthorne,HHR,Hawthorne,HHR,United States,US
City,Hawthorne,HHR,NULL,NULL,United States,US
Airport,Hibbing/Chisholm,HIB,Hibbing/Chisholm,HIB,United States,US
City,Hibbing/Chisholm,HIB,NULL,NULL,United States,US
Airport,Healy Lake,HKB,Healy Lake,HKB,United States,US
City,Healy Lake,HKB,NULL,NULL,United States,US
Airport,Helena,HLN,Helena,HLN,United States,US
City,Helena,HLN,NULL,NULL,United States,US
Airport,Hoonah,HNH,Hoonah,HNH,United States,US
City,Hoonah,HNH,NULL,NULL,United States,US
City,Honolulu,HNL,NULL,NULL,United States,US
Airport,Honolulu International Apt,HNL,Honolulu,HNL,United States,US
City,Hana,HNM,NULL,NULL,United States,US
Airport,Hana,HNM,Hana,HNM,United States,US
Airport,Haines,HNS,Haines,HNS,United States,US
City,Haines,HNS,NULL,NULL,United States,US
City,Hobbs,HOB,NULL,NULL,United States,US
Airport,Hobbs Lea County Apt,HOB,Hobbs,HOB,United States,US
City,Homer,HOM,NULL,NULL,United States,US
Airport,Homer,HOM,Homer,HOM,United States,US
Airport,Huron,HON,Huron,HON,United States,US
City,Huron,HON,NULL,NULL,United States,US
City,Hot Springs,HOT,NULL,NULL,United States,US
Airport,Hot Springs,HOT,Hot Springs,HOT,United States,US
Airport,Houston Hobby Apt,HOU,Houston,HOU,United States,US
City,Houston,HOU,NULL,NULL,United States,US
Airport,Hooper Bay,HPB,Hooper Bay,HPB,United States,US
City,Hooper Bay,HPB,NULL,NULL,United States,US
Airport,Westchester County,HPN,Westchester County,HPN,United States,US
City,Westchester County,HPN,NULL,NULL,United States,US
City,Harlingen,HRL,NULL,NULL,United States,US
Airport,Harlingen,HRL,Harlingen,HRL,United States,US
Airport,Harrison,HRO,Harrison,HRO,United States,US
City,Harrison,HRO,NULL,NULL,United States,US
City,Huslia,HSL,NULL,NULL,United States,US
Airport,Huslia,HSL,Huslia,HSL,United States,US
City,Huntsville,HSV,NULL,NULL,United States,US
Airport,Huntsville International Airport,HSV,Huntsville,HSV,United States,US
City,Huntington,HTS,NULL,NULL,United States,US
Airport,Huntington,HTS,Huntington,HTS,United States,US
Airport,Hughes,HUS,Hughes,HUS,United States,US
City,Hughes,HUS,NULL,NULL,United States,US
Airport,New Haven,HVN,New Haven,HVN,United States,US
City,New Haven,HVN,NULL,NULL,United States,US
City,Havre,HVR,NULL,NULL,United States,US
Airport,Havre,HVR,Havre,HVR,United States,US
Airport,Hyannis,HYA,Hyannis,HYA,United States,US
City,Hyannis,HYA,NULL,NULL,United States,US
Airport,Hydaburg,HYG,Hydaburg,HYG,United States,US
City,Hydaburg,HYG,NULL,NULL,United States,US
City,Hollis,HYL,NULL,NULL,United States,US
Airport,Hollis,HYL,Hollis,HYL,United States,US
City,Hays,HYS,NULL,NULL,United States,US
Airport,Hays,HYS,Hays,HYS,United States,US
Airport,Washington Dulles International Apt,IAD,Washington,WAS,United States,US
City,Niagara Falls,IAG,NULL,NULL,United States,US
Airport,Niagara Falls,IAG,Niagara Falls,IAG,United States,US
Airport,Houston George Bush Intercontinental Ap,IAH,Houston,HOU,United States,US
City,Kiana,IAN,NULL,NULL,United States,US
Airport,Kiana,IAN,Kiana,IAN,United States,US
Airport,Wichita Mid-Continent Apt,ICT,Wichita,ICT,United States,US
City,Wichita,ICT,NULL,NULL,United States,US
City,Idaho Falls,IDA,NULL,NULL,United States,US
Airport,Idaho Falls,IDA,Idaho Falls,IDA,United States,US
Airport,Bullhead City,IFP,Bullhead City,IFP,United States,US
City,Bullhead City,IFP,NULL,NULL,United States,US
Airport,Igiugig,IGG,Igiugig,IGG,United States,US
City,Igiugig,IGG,NULL,NULL,United States,US
City,Kingman,IGM,NULL,NULL,United States,US
Airport,Kingman,IGM,Kingman,IGM,United States,US
City,Killeen,ILE,NULL,NULL,United States,US
City,Wilmington,ILG,NULL,NULL,United States,US
City,Iliamna,ILI,NULL,NULL,United States,US
Airport,Iliamna,ILI,Iliamna,ILI,United States,US
Airport,Wilmington,ILM,Wilmington,ILM,United States,US
City,Wilmington,ILM,NULL,NULL,United States,US
City,Wilmington,ILN,NULL,NULL,United States,US
Airport,Wilmington,ILN,Wilmington,ILN,United States,US
City,Iron Mountain,IMT,NULL,NULL,United States,US
Airport,Iron Mountain,IMT,Iron Mountain,IMT,United States,US
City,Indianapolis,IND,NULL,NULL,United States,US
Airport,Indianapolis,IND,Indianapolis,IND,United States,US
City,International Falls,INL,NULL,NULL,United States,US
Airport,International Falls,INL,International Falls,INL,United States,US
City,Winston-Salem,INT,NULL,NULL,United States,US
Airport,Winston-Salem,INT,Winston-Salem,INT,United States,US
Airport,Imperial County Apt,IPL,Imperial,IPL,United States,US
City,Imperial,IPL,NULL,NULL,United States,US
Airport,Williamsport,IPT,Williamsport,IPT,United States,US
City,Williamsport,IPT,NULL,NULL,United States,US
Airport,Circle,IRC,Circle,IRC,United States,US
City,Circle,IRC,NULL,NULL,United States,US
City,Kirksville,IRK,NULL,NULL,United States,US
Airport,Kirksville,IRK,Kirksville,IRK,United States,US
Airport,Williston,ISN,Williston,ISN,United States,US
City,Williston,ISN,NULL,NULL,United States,US
City,Long Island MacArthur,ISP,NULL,NULL,United States,US
Airport,Long Island MacArthur,ISP,Long Island MacArthur,ISP,United States,US
Airport,Ithaca,ITH,Ithaca,ITH,United States,US
City,Ithaca,ITH,NULL,NULL,United States,US
City,Hilo,ITO,NULL,NULL,United States,US
Airport,Hilo,ITO,Hilo,ITO,United States,US
Airport,Ironwood,IWD,Ironwood,IWD,United States,US
City,Ironwood,IWD,NULL,NULL,United States,US
City,Inyokern,IYK,NULL,NULL,United States,US
Airport,Inyokern,IYK,Inyokern,IYK,United States,US
Airport,Jackson,JAC,Jackson,JAC,United States,US
City,Jackson,JAC,NULL,NULL,United States,US
Airport,Jackson-Evers International Airport,JAN,Jackson,JAN,United States,US
City,Jackson,JAN,NULL,NULL,United States,US
City,Jacksonville,JAX,NULL,NULL,United States,US
Airport,Jacksonville International Apt,JAX,Jacksonville,JAX,United States,US
Airport,Jonesboro,JBR,Jonesboro,JBR,United States,US
City,Jonesboro,JBR,NULL,NULL,United States,US
Airport,USPS Distribution Centre Newark,JEC,USPS Distribution Centre Newark,JEC,United States,US
City,USPS Distribution Centre Newark,JEC,NULL,NULL,United States,US
Airport,Jefferson City,JEF,Jefferson City,JEF,United States,US
City,Jefferson City,JEF,NULL,NULL,United States,US
Airport,New York J F Kennedy International Apt,JFK,New York,NYC,United States,US
Airport,Grand Canyon H/P,JGC,Grand Canyon,GCN,United States,US
City,Kapalua,JHM,NULL,NULL,United States,US
Airport,Kapalua,JHM,Kapalua,JHM,United States,US
City,Jamestown,JHW,NULL,NULL,United States,US
Airport,Jamestown,JHW,Jamestown,JHW,United States,US
City,Joplin,JLN,NULL,NULL,United States,US
Airport,Joplin,JLN,Joplin,JLN,United States,US
City,Jamestown,JMS,NULL,NULL,United States,US
Airport,Jamestown,JMS,Jamestown,JMS,United States,US
Airport,Juneau,JNU,Juneau,JNU,United States,US
City,Juneau,JNU,NULL,NULL,United States,US
Airport,New York Downtown Manhattan H/P,JRB,New York,NYC,United States,US
Airport,Johnstown,JST,Johnstown,JST,United States,US
City,Johnstown,JST,NULL,NULL,United States,US
Airport,Jackson,JXN,Jackson,JXN,United States,US
City,Jackson,JXN,NULL,NULL,United States,US
City,Kake,KAE,NULL,NULL,United States,US
Airport,Kake,KAE,Kake,KAE,United States,US
City,Kaltag,KAL,NULL,NULL,United States,US
Airport,Kaltag,KAL,Kaltag,KAL,United States,US
Airport,Birch Creek,KBC,Birch Creek,KBC,United States,US
City,Birch Creek,KBC,NULL,NULL,United States,US
Airport,Coffman Cove,KCC,Coffman Cove,KCC,United States,US
City,Coffman Cove,KCC,NULL,NULL,United States,US
Airport,Chignik Fisheries Apt,KCG,Chignik,KCL,United States,US
City,Chignik,KCL,NULL,NULL,United States,US
Airport,Chignik Lagoon Apt,KCL,Chignik,KCL,United States,US
Airport,Chignik Lake Apt,KCQ,Chignik,KCL,United States,US
City,Nanwalek,KEB,NULL,NULL,United States,US
Airport,Nanwalek,KEB,Nanwalek,KEB,United States,US
Airport,Kenmore Air Harbor,KEH,Kenmore Air Harbor,KEH,United States,US
City,Kenmore Air Harbor,KEH,NULL,NULL,United States,US
Airport,Ekwok,KEK,Ekwok,KEK,United States,US
City,Ekwok,KEK,NULL,NULL,United States,US
City,False Pass,KFP,NULL,NULL,United States,US
Airport,False Pass,KFP,False Pass,KFP,United States,US
City,Koliganek,KGK,NULL,NULL,United States,US
Airport,Koliganek,KGK,Koliganek,KGK,United States,US
Airport,Grayling,KGX,Grayling,KGX,United States,US
City,Grayling,KGX,NULL,NULL,United States,US
City,Koyuk,KKA,NULL,NULL,United States,US
Airport,Koyuk,KKA,Koyuk,KKA,United States,US
City,Kongiganak,KKH,NULL,NULL,United States,US
Airport,Kongiganak,KKH,Kongiganak,KKH,United States,US
Airport,Akiachak,KKI,Akiachak,KKI,United States,US
City,Akiachak,KKI,NULL,NULL,United States,US
Airport,Ekuk,KKU,Ekuk,KKU,United States,US
City,Ekuk,KKU,NULL,NULL,United States,US
City,Kalskag,KLG,NULL,NULL,United States,US
Airport,Kalskag,KLG,Kalskag,KLG,United States,US
City,Levelock,KLL,NULL,NULL,United States,US
Airport,Levelock,KLL,Levelock,KLL,United States,US
Airport,Larsen Bay,KLN,Larsen Bay,KLN,United States,US
City,Larsen Bay,KLN,NULL,NULL,United States,US
City,Klawock,KLW,NULL,NULL,United States,US
Airport,Klawock,KLW,Klawock,KLW,United States,US
City,Manokotak,KMO,NULL,NULL,United States,US
Airport,Manokotak,KMO,Manokotak,KMO,United States,US
Airport,Kakhonak,KNK,Kakhonak,KNK,United States,US
City,Kakhonak,KNK,NULL,NULL,United States,US
Airport,New Stuyahok,KNW,New Stuyahok,KNW,United States,US
City,New Stuyahok,KNW,NULL,NULL,United States,US
Airport,Kona,KOA,Kona,KOA,United States,US
City,Kona,KOA,NULL,NULL,United States,US
Airport,Kotlik,KOT,Kotlik,KOT,United States,US
City,Kotlik,KOT,NULL,NULL,United States,US
Airport,Ouzinkie,KOZ,Ouzinkie,KOZ,United States,US
City,Ouzinkie,KOZ,NULL,NULL,United States,US
City,Point Baker,KPB,NULL,NULL,United States,US
Airport,Point Baker,KPB,Point Baker,KPB,United States,US
